ID,Mien,Part of Speech,English,French,Thai,Lao,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example (Mien),Example (English),Example (French),Example (Thai),Example (Lao),Example (Vietnamese),Example (Chinese),Variant,Synonym,Usage,Origin,AudioOriginal,AudioAI,AudioExample
2,Aa Cic,noun,Ah-See,Ah-See,อา-ซี,ອາ-ຊີ,A-chị,阿七,Ā Q,aa3 cat1,The first part of a given name for the seventh son.,La première partie du prénom du septième fils.,ส่วนแรกของชื่อที่ใช้เรียกบุตรชายคนที่เจ็ด,ສ່ວນທຳອິດຂອງຊື່ທີ່ກຳນົດໃຫ້ສຳລັບລູກຊາຍຄົນທີເຈັດ.,Phần đầu của tên gọi dành cho người con trai thứ bảy.,第七个儿子的名字的前半部分。,,,,,,,,,,,,Original/Aa_Cic.mp3,AI/Aa_Cic_AI.mp3,
3,aa cingx,adjective,earlier,plus tôt,ก่อนหน้านี้,ກ່ອນໜ້ານັ້ນ,sớm hơn,较早,jiào zǎo,gaau3 zou2,,,,,,,,,,,,,,,,,,Original/aa_cingx.mp3,AI/aa_cingx_AI.mp3,
4,aa cingx jang,adverb,a while ago,il y a quelque temps,สักพักก่อนหน้านี้,ດົນນານມາແລ້ວ,một lúc trước,不久前,bù jiǔ qián,bat1 gau2 cin4,,,,,,,,,,,,,,,,,,Original/aa_cingx_jang.mp3,AI/aa_cingx_jang_AI.mp3,
5,aa dae,noun,dad,papa,พ่อ,ພໍ່,bố,爸爸,bàba,baa4 baa1,,,,,,,,,,,,,,,,,,Original/aa_dae.mp3,AI/aa_dae_AI.mp3,
6,aa dae,noun,daddy,papa,พ่อ,ພໍ່,bố ơi,爸爸,bàba,baa4 baa1,,,,,,,,,,,,,,,,,,Original/aa_dae.mp3,AI/aa_dae_AI.mp3,
7,aa die,noun,father,père,พ่อ,ພໍ່,cha,父亲,fù qīn,fu6 can1,,,,,,,,,,,,,,,,,,Original/aa_die.mp3,AI/aa_die_AI.mp3,
8,Aa Div,noun,Ah-thi,Ah-thi,อา-ธิ,ອາທີ,A-tị,阿提,Ātí,a1 tai4,Nickname for a petite girl.,Surnom pour une petite fille.,ชื่อเล่นสำหรับสาวร่างเล็ก,ຊື່ຫຼິ້ນສຳລັບສາວນ້ອຍຕົວນ້ອຍ.,Biệt danh dành cho cô gái nhỏ nhắn.,娇小女孩的昵称。,,,,,,,,,,,,Original/Aa_Div.mp3,AI/Aa_Div_AI.mp3,
9,aa dorc,noun,older sister,sœur aînée,พี่สาว,ເອື້ອຍ,chị lớn,大姐,dàjiě,daai6 ze2,,,,,,,,,,,,,,,,,,Original/aa_dorc.mp3,AI/aa_dorc_AI.mp3,
10,Aa Dorn,noun,Ah-torn,Ah-déchiré,อา-ทอร์น,ອາ-ທໍຣອນ,Atôn,阿通,Ātōng,a1 tung1,Nickname for a son.,Surnom pour un fils.,ชื่อเล่นสำหรับลูกชาย,ຊື່ຫຼິ້ນສຳລັບລູກຊາຍ.,Biệt danh dành cho con trai.,儿子的昵称。,,,,,,,,,,,,Original/Aa_Dorn.mp3,AI/Aa_Dorn_AI.mp3,
11,Aa Dutv,noun,Ah-thoot,Ah-thoot,อา-ทูท,ອາ-ທູດ,A-tụt,阿突,Ātū,a1 dat6,Nickname for a chubby child.,Surnom donné à un enfant potelé.,ชื่อเล่นสำหรับเด็กอ้วน,ຊື່ຫຼິ້ນສຳລັບເດັກອ້ວນ.,Biệt danh dành cho trẻ em mũm mĩm.,胖乎乎孩子的昵称。,,,,,,,,,,,,Original/Aa_Dutv.mp3,AI/Aa_Dutv_AI.mp3,
12,aa gorx,noun,dad,papa,พ่อ,ພໍ່,bố,爸爸,bàba,baa4 baa1,,,,,,,,,,,,,,,,,,Original/aa_gorx.mp3,AI/aa_gorx_AI.mp3,
13,aa gorx,noun,older brother,frère aîné,พี่ชาย,ອ້າຍ,anh trai,哥哥,gēge,go1 go1,,,,,,,,,,,,,,,,,,Original/aa_gorx.mp3,AI/aa_gorx_AI.mp3,
14,Aa Guv,noun,Ah-ku,Ah-ku,อาคุ,ອາ-ກຸ,A-cú,阿库,Ākù,a1 fu2,Nickname for an affectionate son.,Surnom donné à un fils affectueux.,ชื่อเล่นที่ใช้เรียกบุตรชายด้วยความรัก,ຊື່ຫຼິ້ນສຳລັບລູກຊາຍທີ່ໜ້າຮັກ.,Biệt danh dành cho người con trai hiếu thảo.,给孝顺的儿子起的昵称。,,,,,,,,,,,,Original/Aa_Guv.mp3,AI/Aa_Guv_AI.mp3,
15,aa jang,adverb,a moment ago,il y a un instant,เมื่อครู่ที่แล้ว,ເມື່ອກີ້ນີ້,vừa nãy,刚才,gāngcái,gong1 coi4,,,,,,,,,,,,,,,,,,Original/aa_jang.mp3,AI/aa_jang_AI.mp3,
16,aa maa,noun,mom,maman,แม่,ແມ່,mẹ,妈妈,māma,maa1 maa1,,,,,,,,,,,,,,,,,,Original/aa_maa.mp3,AI/aa_maa_AI.mp3,
17,aa maa,noun,mommy,maman,แม่,ແມ່,mẹ ơi,妈咪,māmī,maa1 mei1,,,,,,,,,,,,,,,,,,Original/aa_maa.mp3,AI/aa_maa_AI.mp3,
37,aa'mangc,adjective,ugly,laid,น่าเกลียด,ຂີ້ຮ້າຍ,xấu xí,丑,chǒu,cau2,,,,,,,,,,,,,,,,,,Original/aa_mangc.mp3,AI/aa_mangc_AI.mp3,
18,aa ndorm,noun,this past morning,ce matin dernier,เมื่อเช้านี้,ເຊົ້າມື້ຜ່ານມານີ້,sáng hôm nay,今天上午,jīntiān shàngwǔ,gam1 tin1 soeng6 ng5,,,,,,,,,,,,,,,,,,Original/aa_ndorm.mp3,AI/aa_ndorm_AI.mp3,
19,Aa Nyanv,noun,Ah-yan,Ah-yan,อาหยาน,ອາ-ຢານ,A-dặn,阿延,Āyán,a1 jin4,"Nickname for a fragile, thin boy.",Surnom donné à un garçon fragile et maigre.,ชื่อเล่นสำหรับเด็กชายร่างผอมบางบอบบาง,ຊື່ຫຼິ້ນສຳລັບເດັກຊາຍທີ່ອ່ອນແອ ແລະ ຜອມ.,"Biệt danh dành cho một cậu bé yếu ớt, gầy gò.",形容体弱瘦弱男孩的昵称。,,,,,,,,,,,,Original/Aa_Nyanv.mp3,AI/Aa_Nyanv_AI.mp3,
20,aa nyei,pronoun,mine,le mien,ของฉัน,ຂອງຂ້ອຍ,mỏ,矿,kuàng,kong3,,,,,,,,,,,,,,,,,,Original/aa_nyei.mp3,AI/aa_nyei_AI.mp3,
21,aa nyei,pronoun,my,mon,ของฉัน,ຂອງຂ້ອຍ,của tôi,我的,wǒde,ngo5 dik1,,,,,,,,,,,,,,,,,,Original/aa_nyei.mp3,AI/aa_nyei_AI.mp3,
22,Aa Nyingv,noun,Ah-ying,Ah-ying,อาหยิง,ອາ-ຢິງ,A-dịnh,阿英,Āyīng,a1 jing1,Nickname for a petite child.,Surnom donné à un enfant de petite taille.,ชื่อเล่นสำหรับเด็กตัวเล็ก,ຊື່ຫຼິ້ນສຳລັບລູກນ້ອຍ.,Biệt danh dành cho trẻ nhỏ nhắn.,给个子娇小的孩子起的昵称。,,,,,,,,,,,,Original/Aa_Nyingv.mp3,AI/Aa_Nyingv_AI.mp3,
23,Aa Sieqv,noun,Ah-sie,Ah-sie,อาซี่,ອາຊີ,A-xạ,阿西,Āxī,a1 sai1,Nickname for daughter.,Surnom pour fille.,ชื่อเล่นสำหรับลูกสาว,ຊື່ຫຼິ້ນສຳລັບລູກສາວ.,Biệt danh dành cho con gái.,女儿的昵称。,,,,,,,,,,,,Original/Aa_Sieqv.mp3,AI/Aa_Sieqv_AI.mp3,
24,aa yaah,exclamation,ah yaa (Mien),ah yaa (Mien),อ่า ยา (เมี่ยน),ອາ ຢາ (ມຽນ),aa yaah (Mien),aa yaah (Mien),aa yaah (Mien),aa yaah (Mien),"Used to add urgency or forcefulness to statement, particularly when something serious has happened","Utilisé pour donner plus d'urgence ou de force à une déclaration, notamment lorsqu'un événement grave s'est produit.",ใช้เพื่อเพิ่มความเร่งด่วนหรือความหนักแน่นให้กับข้อความ โดยเฉพาะอย่างยิ่งเมื่อเกิดเหตุการณ์ร้ายแรงขึ้น,"ໃຊ້ເພື່ອເພີ່ມຄວາມຮີບດ່ວນ ຫຼື ຄວາມແຮງໃຫ້ກັບຄຳເວົ້າ, ໂດຍສະເພາະເມື່ອມີບາງສິ່ງທີ່ຮ້າຍແຮງເກີດຂຶ້ນ","Được dùng để nhấn mạnh tính cấp bách hoặc mạnh mẽ của câu nói, đặc biệt khi có điều gì đó nghiêm trọng xảy ra.",用于增强陈述的紧迫感或力度，尤其是在发生严重事件时。,,,,,,,,,,,,Original/aa_yaah.mp3,AI/aa_yaah_AI.mp3,
25,aa yaav,exclamation,ah yaa (Mien),ah yaa (Mien),อ่า ยา (เมี่ยน),ອາ ຢາ (ມຽນ),aa yaav (Mien),aa yaav (Mien),aa yaav (Mien),aa yaav (Mien),"Used to indicate surprise, disappointment, or dismay","Utilisé pour exprimer la surprise, la déception ou le désarroi.",ใช้เพื่อแสดงความประหลาดใจ ความผิดหวัง หรือความเสียใจ,"ໃຊ້ເພື່ອສະແດງຄວາມແປກໃຈ, ຄວາມຜິດຫວັງ ຫຼື ຄວາມທໍ້ຖອຍໃຈ","Dùng để biểu thị sự ngạc nhiên, thất vọng hoặc bàng hoàng.",用来表示惊讶、失望或沮丧,,,,,,,,,,,,Original/aa_yaav.mp3,AI/aa_yaav_AI.mp3,
27,aa yoz,exclamation,huh,hein,ฮะ,ຮື,hả,啊,a,aa3,"Used to indicate mild surprise or dismay, usually with something strange, abnormal, or done in a peculiar or unexpected way.","Utilisé pour exprimer une légère surprise ou un certain désarroi, généralement face à quelque chose d'étrange, d'anormal ou fait d'une manière particulière ou inattendue.",ใช้เพื่อแสดงความประหลาดใจหรือความผิดหวังเล็กน้อย โดยปกติมักเกิดขึ้นกับสิ่งแปลกประหลาด ผิดปกติ หรือกระทำในลักษณะที่แปลกประหลาดหรือไม่คาดคิด,"ໃຊ້ເພື່ອສະແດງເຖິງຄວາມແປກໃຈ ຫຼື ຄວາມຜິດຫວັງເລັກນ້ອຍ, ໂດຍປົກກະຕິແລ້ວແມ່ນດ້ວຍບາງສິ່ງບາງຢ່າງທີ່ແປກ, ຜິດປົກກະຕິ, ຫຼື ເຮັດໃນລັກສະນະທີ່ແປກປະຫຼາດ ຫຼື ບໍ່ຄາດຄິດ.","Từ này được dùng để biểu thị sự ngạc nhiên nhẹ hoặc thất vọng, thường là khi có điều gì đó kỳ lạ, bất thường, hoặc được thực hiện theo cách kỳ quặc hoặc bất ngờ.",用来表示轻微的惊讶或沮丧，通常指对奇怪、不正常或以奇特或出乎意料的方式完成的事情感到惊讶或沮丧。,,,,,,,,,,,,Original/aa_yoz.mp3,AI/aa_yoz_AI.mp3,
28,aa yuv,exclamation,ow,ow,โอ๊ย,ໂອ້ຍ,ôi,哎哟,āi yō,ai1 jo1,"Used to indicate pain, surprise, dismay, or fear, usually with something strange, unusual, or frightening","Utilisé pour exprimer la douleur, la surprise, la consternation ou la peur, généralement face à quelque chose d'étrange, d'inhabituel ou d'effrayant.",ใช้เพื่อแสดงถึงความเจ็บปวด ความประหลาดใจ ความเสียใจ หรือความกลัว โดยมักเกี่ยวข้องกับสิ่งแปลกประหลาด ผิดปกติ หรือน่ากลัว,"ໃຊ້ເພື່ອສະແດງເຖິງຄວາມເຈັບປວດ, ຄວາມແປກໃຈ, ຄວາມຜິດຫວັງ, ຫຼື ຄວາມຢ້ານກົວ, ໂດຍປົກກະຕິແລ້ວແມ່ນບາງສິ່ງບາງຢ່າງທີ່ແປກ, ຜິດປົກກະຕິ, ຫຼື ໜ້າຢ້ານກົວ.","Được dùng để diễn tả sự đau đớn, ngạc nhiên, thất vọng hoặc sợ hãi, thường đi kèm với điều gì đó kỳ lạ, bất thường hoặc đáng sợ.",用来表示痛苦、惊讶、沮丧或恐惧，通常与奇怪、不寻常或可怕的事物有关。,,,,,,,,,,,,Original/aa_yuv.mp3,AI/aa_yuv_AI.mp3,
29,aac,particle,hey,Hé,เฮ้,ສະບາຍດີ,dùng để gọi người từ xa,用於從遠處呼喚,yòng yú cóng yuǎn chù hū huàn,jung6 jyu1 cung4 jyun5 cyu3 fu1 wun6,Used to call to someone or to get someone's attention from distance,Utilisé pour appeler quelqu'un ou attirer l'attention de quelqu'un à distance.,ใช้เพื่อเรียกใครบางคนหรือดึงความสนใจของใครบางคนจากระยะไกล,ໃຊ້ເພື່ອໂທຫາຜູ້ໃດຜູ້ໜຶ່ງ ຫຼື ເພື່ອດຶງດູດຄວາມສົນໃຈຂອງຜູ້ໃດຜູ້ໜຶ່ງຈາກໄລຍະໄກ,Được dùng để gọi ai đó hoặc thu hút sự chú ý của ai đó từ xa.,用于远距离呼唤某人或引起某人的注意,,,,,,,,,,,,Original/aac.mp3,AI/aac_AI.mp3,
30,aah,particle,hey,Hé,เฮ้,ສະບາຍດີ,dùng để gọi sự chú ý,用於引起注意,yòng yú yǐn qǐ zhù yì,jung6 jyu1 jan5 hei2 zyu3 ji3,Used to call someone's attention from close by,Utilisé pour attirer l'attention de quelqu'un de près,ใช้เพื่อดึงดูดความสนใจของใครบางคนจากระยะใกล้,ໃຊ້ເພື່ອເອີ້ນຄວາມສົນໃຈຂອງຜູ້ໃດຜູ້ໜຶ່ງຈາກຄົນໃກ້ໆ,Dùng để thu hút sự chú ý của ai đó từ gần.,用来引起附近某人的注意,,,,,,,,,,,,Original/aah.mp3,AI/aah_AI.mp3,
31,aah loc,adverb,repeatedly,à plusieurs reprises,ซ้ำแล้วซ้ำเล่า,ຊ້ຳໆ,lặp đi lặp lại,反复,fǎnfù,faan2 fuk1,,,,,,,,,,,,,,,,,,Original/aah_loc.mp3,AI/aah_loc_AI.mp3,
32,aah loc,adverb,frequently,fréquemment,บ่อย,ເລື້ອຍໆ,thường xuyên,经常,jīng cháng,ging1 soeng4,,,,,,,,,,,,,,,,,,Original/aah_loc.mp3,AI/aah_loc_AI.mp3,
33,aah loc,adverb,often,souvent,บ่อยครั้ง,ເລື້ອຍໆ,thường xuyên,经常,jīngcháng,ging1 soeng4,,,,,,,,,,,,,,,,,,Original/aah_loc.mp3,AI/aah_loc_AI.mp3,
34,aah loc,adverb,habitually,habituellement,เป็นประจำ,ເປັນປະຈຳ,theo thói quen,习惯性地,xí guàn xìng de,zaap6 gwaan3 sing3 dei6,,,,,,,,,,,,,,,,,,Original/aah_loc.mp3,AI/aah_loc_AI.mp3,
35,aah loc,adverb,always,toujours,เสมอ,ສະເໝີ,luôn luôn,总是,zǒngshì,zung2 si6,,,,,,,,,,,,,,,,,,Original/aah_loc.mp3,AI/aah_loc_AI.mp3,
36,aah yiz,exclamation,aah yiz (Mien),aah yiz (Mien),อาห์ ยิซ (เมียน),ອາ ຢີຊ (ມຽນ),aah yiz (Mien),aah yiz (Mien),aah yiz (Mien),aah yiz (Mien),Used to indicate fear and uncertainty about what to do,Utilisé pour indiquer la peur et l'incertitude quant à la marche à suivre.,ใช้เพื่อแสดงถึงความกลัวและความไม่แน่ใจเกี่ยวกับสิ่งที่ต้องทำ,ໃຊ້ເພື່ອສະແດງເຖິງຄວາມຢ້ານກົວ ແລະ ຄວາມບໍ່ແນ່ນອນກ່ຽວກັບສິ່ງທີ່ຕ້ອງເຮັດ,Dùng để diễn tả sự sợ hãi và không chắc chắn về những việc cần làm.,用来表示对下一步行动的恐惧和不确定。,,,,,,,,,,,,Original/aah_yiz.mp3,AI/aah_yiz_AI.mp3,
38,aamx fangx,verb,to photograph,photographier,เพื่อถ่ายภาพ,ຖ່າຍຮູບ,chụp ảnh,拍照,pāi zhào,paak3 ziu3,,,,,,,,,,,,,,,,,,Original/aamx_fangx.mp3,AI/aamx_fangx_AI.mp3,
39,aamx fangx,verb,to take picture,prendre des photos,เพื่อถ่ายรูป,ຖ່າຍຮູບ,chụp hình,照相,zhào xiàng,ziu3 soeng2,,,,,,,,,,,,,,,,,,Original/aamx_fangx.mp3,AI/aamx_fangx_AI.mp3,
40,aamx fangx zorngh,noun,camera,caméra,กล้อง,ກ້ອງຖ່າຍຮູບ,máy ảnh,相机,xiàng jī,soeng2 gei1,,,,,,,,,,,,,,,,,,Original/aamx_fangx_zorngh.mp3,AI/aamx_fangx_zorngh_AI.mp3,
41,aamx sou,noun,photocopy,photocopie,สำเนา,ສຳເນົາ,photocopy,复印,fùyìn,fuk6 jan3,,,,,,,,,,,,,,,,,,Original/aamx_sou.mp3,AI/aamx_sou_AI.mp3,
42,aanx,noun,half day,demi-journée,ครึ่งวัน,ເຄິ່ງມື້,nửa ngày,半天,bàn tiān,bun3 tin1,,,,,,,,,,,,,,,,,,Original/aanx.mp3,AI/aanx_AI.mp3,
43,aanx,noun,late before noon,tard avant midi,สายก่อนเที่ยง,ກ່ອນທ່ຽງ,trước trưa muộn,临近中午,línjìn zhōngwǔ,lam4 gan6 zung1 ng5,,,,,,,,,,,,,,,,,,Original/aanx.mp3,AI/aanx_AI.mp3,
44,aanx,noun,noontime,midi,เที่ยงวัน,ເວລາທ່ຽງ,giờ trưa,正午,zhèngwǔ,zing3 ng5,,,,,,,,,,,,,,,,,,Original/aanx.mp3,AI/aanx_AI.mp3,
45,aanx,noun,midday,midi,เที่ยงวัน,ທ່ຽງວັນ,trưa,中午,zhōngwǔ,zung1 ng5,,,,,,,,,,,,,,,,,,Original/aanx.mp3,AI/aanx_AI.mp3,
46,aapc,verb,to bite,mordre,กัด,ກັດ,tớp,齧,niè,jit6,,,,,,,,,,,,,,,,,,Original/aapc.mp3,AI/aapc_AI.mp3,
47,aapv,noun,duck,canard,เป็ด,ເປັດ,vịt,鸭,yā,aap3,,,,,,,,,,,,,,,,,,Original/aapv.mp3,AI/aapv_AI.mp3,
48,aapv,verb,to urge,inciter,เพื่อกระตุ้น,ຮຽກຮ້ອງ,thúc giục,催促/主张,cuī cù/zhǔ zhāng,ceoi1 cuk1/zyu2 zoeng1,,,,,,,,,,,,,,,,,,Original/aapv.mp3,AI/aapv_AI.mp3,
49,aapv,verb,to compel,contraindre,เพื่อบังคับ,ເພື່ອບັງຄັບໃຫ້,buộc,强迫,qiǎngpò,koeng4 bok3,,,,,,,,,,,,,,,,,,Original/aapv.mp3,AI/aapv_AI.mp3,
